                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  2.332,                 2.5688,                 2.7846,                0.12461,                 0.2006,                0.07595,                0.02685,                 2.2258,                 2.9796,                 2.9091,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.3171,                 2.6348,                 2.7739,                0.20792,                0.27246,                0.14836,                0.05228,                 2.1852,                  2.721,                 2.8754,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.3132,                  2.605,                 2.7988,                0.21266,                0.26929,                0.16892,                0.05574,                 2.2803,                 2.6098,                 2.9236,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.1849,                 2.5509,                 2.7067,                0.31602,                0.34132,                0.24948,                0.08694,                 2.2118,                 2.5486,                 2.8705,               0.001307,               0.001307,               0.001307
                     38,                 2.1643,                 2.4979,                 2.6962,                0.32926,                 0.2994,                0.25751,                0.10261,                 2.0917,                 2.5968,                 2.7846,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.1776,                 2.4824,                 2.7015,                0.38982,                0.31138,                0.29027,                0.11013,                 2.1718,                 2.5464,                  2.842,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.1567,                  2.437,                 2.6615,                0.30531,                0.37126,                 0.2729,                0.10186,                 2.1822,                 2.5849,                 2.8229,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.1684,                 2.4177,                 2.6676,                0.39616,                0.33785,                0.32603,                0.12189,                 2.1434,                 2.5394,                 2.8022,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0972,                 2.4201,                 2.6324,                0.41314,                0.26946,                0.26309,                 0.0941,                 2.1595,                 2.7245,                 2.7997,               0.001208,               0.001208,               0.001208
                     43,                 2.1429,                 2.4977,                 2.6515,                0.31958,                0.32036,                0.24109,                0.08299,                 2.1391,                  2.709,                 2.7561,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.1088,                 2.3716,                 2.6205,                0.39987,                0.40419,                0.31389,                0.11136,                  2.119,                 2.4993,                 2.7775,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.1016,                 2.3549,                 2.5915,                0.38723,                0.38623,                0.29132,                0.12711,                 2.0061,                 2.5086,                 2.6852,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.0155,                  2.293,                 2.5712,                0.36656,                0.38291,                0.33042,                0.14728,                  1.977,                 2.4344,                 2.6263,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.0711,                 2.3503,                  2.609,                 0.3585,                0.36527,                0.28178,                 0.1097,                 2.0225,                   2.55,                 2.6412,               0.001109,               0.001109,               0.001109
                     48,                 2.0285,                 2.3345,                 2.5423,                0.29911,                0.33234,                0.23579,                0.08941,                 2.0505,                 3.2129,                 2.7028,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.0299,                 2.3077,                  2.521,                0.38946,                0.38323,                  0.316,                0.12647,                  1.984,                 2.7982,                 2.6723,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.9296,                 2.2117,                 2.4812,                0.44664,                0.35329,                0.31664,                0.12906,                 1.9729,                 2.4882,                 2.6736,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.9531,                  2.271,                 2.5008,                0.36993,                0.37126,                0.30367,                0.12489,                 1.9792,                  2.403,                 2.6576,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.9319,                 2.1955,                  2.467,                0.45968,                0.38972,                0.37179,                0.16596,                 1.9385,                 2.3135,                  2.606,                0.00101,                0.00101,                0.00101
                     53,                 1.9125,                 2.1947,                 2.4273,                0.45875,                0.38323,                0.35453,                0.16409,                 1.9119,                 2.3749,                 2.5945,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.9291,                 2.2121,                 2.4228,                0.41301,                0.35329,                0.33562,                0.15989,                 1.8855,                 2.3719,                 2.5695,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.9079,                 2.1418,                 2.4526,                0.52856,                0.38938,                0.41634,                0.19317,                 1.8663,                 2.2717,                 2.5398,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.8849,                 2.1392,                 2.4173,                0.54876,                 0.3982,                0.42906,                0.20177,                 1.9177,                  2.177,                 2.5669,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8462,                  2.115,                 2.4154,                0.54903,                0.39222,                0.44193,                0.20569,                 1.8845,                 2.1639,                 2.5412,               0.000911,               0.000911,               0.000911
                     58,                 1.8923,                 2.1366,                 2.3872,                0.44188,                0.41018,                0.39937,                0.18233,                 1.8849,                 2.1233,                 2.5368,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.8772,                 2.1246,                 2.3664,                 0.5237,                0.44012,                0.43262,                0.19757,                  1.833,                  2.164,                 2.4595,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.8494,                 2.1469,                 2.3705,                0.48081,                0.48802,                 0.4594,                0.20713,                 1.7438,                 2.1144,                 2.3991,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.7777,                 2.0312,                 2.3063,                0.49305,                0.48204,                0.43413,                0.19966,                 1.7389,                 2.1123,                 2.4059,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.8206,                 2.0993,                 2.3525,                0.52781,                 0.4521,                0.46945,                0.23022,                 1.7399,                 2.0078,                 2.3986,               0.000812,               0.000812,               0.000812
                     63,                 1.8005,                 2.0678,                 2.3241,                0.52219,                0.47605,                0.48058,                0.22977,                  1.737,                 1.9993,                 2.3962,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.7875,                 2.0246,                 2.2674,                0.50091,                0.47605,                0.39848,                0.19232,                  1.727,                 2.1481,                 2.3625,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.7473,                 1.9933,                 2.2397,                0.50659,                0.51198,                0.45265,                0.20763,                 1.6954,                 2.1501,                 2.3418,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.7836,                 2.0289,                 2.3014,                0.50262,                 0.4145,                0.43096,                0.20552,                 1.6916,                 2.0643,                 2.3438,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.7658,                 1.9898,                 2.2873,                0.55524,                0.43114,                0.43299,                0.21451,                 1.6766,                 2.0092,                 2.3024,               0.000713,               0.000713,               0.000713
                     68,                 1.7481,                 1.9945,                 2.2617,                0.46643,                0.54192,                0.46491,                0.22446,                 1.6628,                 1.9452,                 2.2698,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.6745,                 1.9489,                 2.2173,                0.54336,                    0.5,                0.52034,                0.26148,                 1.6372,                 1.9391,                 2.2531,              0.0006734,              0.0006734,              0.0006734
